"slug","brand","product_name","score","priority","existing_english","selected_phase2","index_ready","official_source","official_link","concentration","sizes","notes_complete","release_year","family","scenes","seasons","editorial_guidance","verified_at","japan_purchasable","safe_link","rakuten_link","moshimo_link","official_price","rakuten_price","missing_required"
"narciso-rodriguez-1","Narciso Rodriguez","フォー ハー","14","P3","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink | concentration"
"paco-rabanne-1","Paco Rabanne","プール オム","14","P3","no","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","officialSource | officialLink | concentration"
"dior-7","Dior","ディオール オム","18","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","safeLink"
"jo-malone-6","Jo Malone","ポメグラネート ノアール","16","P3","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"maison-margiela-5","Maison Margiela","バイ ザ ファイヤープレイス","16","P3","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"maison-margiela-6","Maison Margiela","ビーチ ウォーク","16","P3","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"maison-margiela-7","Maison Margiela","コーヒー ブレイク","16","P3","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"prada-7","Prada","ルオム インテンス","16","P3","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"4711-1","4711","オーデコロン","15","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","safeLink"
"acqua-di-parma-2","Acqua di Parma","ブルー メディテラネオ アランチャ","15","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","safeLink"
"carolina-herrera-1","Carolina Herrera","バッドボーイ","15","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","safeLink"
"davidoff-1","Davidoff","クール ウォーター","15","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","safeLink"
"gucci-1","Gucci","ギルティ プールオム","15","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","safeLink"
"versace-1","Versace","エロス EDT","15","P3","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","safeLink"
"versace-4","Versace","プールオム","15","P3","no","no","no","yes","yes","yes","yes","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","releaseYear"
"ck-1","Calvin Klein","CK one","14","P3","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","yes","yes","no","no","officialLink | safeLink"
"loewe-3","Loewe","アグア エル クラシコ","14","P3","no","no","no","no","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink"
"lacoste-l1212-blanc-eau-fraiche-edt-50","Lacoste","オーデ ラコステ L.12.12 ブラン オーフレッシュ EDT 50mL","12","excluded","no","no","no","yes","no","yes","yes","yes","no","yes","no","no","no","yes","yes","yes","yes","yes","no","yes","officialLink | releaseYear | scenes | seasons | editorial"
"lacoste-l1212-blanc-eau-intense-edt-100","Lacoste","オーデ ラコステ L.12.12 ブラン オーインテンス EDT 100mL","12","excluded","no","no","no","yes","no","yes","yes","yes","no","yes","no","no","no","yes","yes","yes","yes","yes","no","yes","officialLink | releaseYear | scenes | seasons | editorial"
"lacoste-l1212-blanc-edp-50","Lacoste","オーデ ラコステ L.12.12 ブラン EDP 50mL","12","excluded","no","no","no","yes","no","yes","yes","yes","no","yes","no","no","no","yes","yes","yes","yes","yes","no","yes","officialLink | releaseYear | scenes | seasons | editorial"
"lacoste-l1212-blanc-edt-50","Lacoste","オーデ ラコステ L.12.12 ブラン EDT 50mL","12","excluded","no","no","no","yes","no","yes","yes","yes","no","yes","no","no","no","yes","yes","yes","yes","yes","no","yes","officialLink | releaseYear | scenes | seasons | editorial"
"acqua-di-parma-3","Acqua di Parma","コロニア インテンサ","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"acqua-di-parma-4","Acqua di Parma","コロニア クラブ","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"acqua-di-parma-5","Acqua di Parma","ブルー メディテラネオ ベルガモット ディ カラブリア","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"bvlgari-4","Bvlgari","マン ウッド エッセンス","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"bvlgari-5","Bvlgari","マン レイン エッセンス","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"bvlgari-6","Bvlgari","マン ウッド ネロリ","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"dunhill-2","Dunhill","デザイア フォーメン","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"giorgio-armani-4","Giorgio Armani","ストロンガー ウィズ ユー インテンスリー","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"gucci-3","Gucci","ギルティ アブソリュート プールオム","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
"gucci-4","Gucci","ギルティ エリクシール ドゥ パルファム プールオム","13","excluded","no","no","no","no","no","yes","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","officialSource | officialLink | sizes"
